City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Faanui,PF,-16.4833,-151.75,80.22,75,15,16.75,1651332108
Ulagan,RU,50.6321,87.9563,49.87,53,100,3.2,1651332108
Ubari,LY,26.5921,12.7805,99.66,5,0,15.35,1651332109
Hilo,US,19.7297,-155.09,73.27,97,75,4.61,1651331924
Talnakh,RU,69.4865,88.3972,13.95,95,90,6.89,1651332109
Barrow,US,71.2906,-156.7887,10.42,85,40,10.36,1651332002
Busselton,AU,-33.65,115.3333,56.7,82,0,5.82,1651332110
Ushuaia,AR,-54.8,-68.3,40.62,81,0,5.75,1651332011
Tiksi,RU,71.6872,128.8694,33.85,82,86,19.64,1651332111
Rikitea,PF,-23.1203,-134.9692,75.7,76,48,13.18,1651332111
Bikramganj,IN,25.2,84.25,84.61,48,33,28.1,1651332112
Cidreira,BR,-30.1811,-50.2056,66.58,64,50,12.01,1651332112
Ukiah,US,39.1502,-123.2078,59.38,83,0,0.0,1651331420
Bluff,NZ,-46.6,168.3333,57.22,73,84,19.95,1651332113
Arraial do Cabo,BR,-22.9661,-42.0278,76.96,78,75,9.22,1651332113
Torbay,CA,47.6666,-52.7314,41.29,95,100,6.91,1651331909
Banjar,ID,-8.19,114.9675,77.52,87,38,4.85,1651332114
New Norfolk,AU,-42.7826,147.0587,55.92,56,100,9.98,1651332114
Sisimiut,GL,66.9395,-53.6735,23.25,48,0,6.17,1651332115
Bundaberg,AU,-24.85,152.35,66.49,99,49,6.91,1651332115
Kisanga,TZ,-7.4362,37.7034,78.69,77,54,1.77,1651332116
Hobart,AU,-42.8794,147.3294,56.26,88,75,11.5,1651332018
Khatanga,RU,71.9667,102.5,10.44,97,46,5.46,1651332116
Rodolfo Sánchez Taboada,MX,31.7167,-116.5667,59.11,87,72,2.46,1651332117
Honiara,SB,-9.4333,159.95,78.21,86,94,0.72,1651332117
Puerto Ayora,EC,-0.7393,-90.3518,76.96,84,36,10.2,1651332118
Zhalantun,CN,48.0,122.7167,36.01,41,14,3.71,1651332118
Mataura,NZ,-46.1927,168.8643,48.16,90,79,4.21,1651332118
Gore,NZ,-46.1028,168.9436,47.1,91,83,3.44,1651332119
Atuona,PF,-9.8,-139.0333,77.95,77,54,13.58,1651332059
Hofn,IS,64.2539,-15.2082,47.53,75,10,11.59,1651331286
Dikson,RU,73.5069,80.5464,17.47,93,100,17.36,1651332002
Tuktoyaktuk,CA,69.4541,-133.0374,23.0,86,20,6.91,1651332120
Bethel,US,41.3712,-73.414,58.19,35,0,10.36,1651331973
Ilulissat,GL,69.2167,-51.1,23.02,42,20,9.22,1651331552
Saint Anthony,US,45.0205,-93.218,50.49,92,100,13.8,1651332120
Ponta do Sol,PT,32.6667,-17.1,77.72,53,0,0.96,1651332121
Amānganj,IN,24.4333,80.0333,99.18,11,17,10.2,1651332121
Qaqortoq,GL,60.7167,-46.0333,43.66,69,50,6.71,1651332122
Upernavik,GL,72.7868,-56.1549,19.02,82,100,15.66,1651332122
Nome,US,64.5011,-165.4064,41.07,61,100,12.66,1651332123
Iqaluit,CA,63.7506,-68.5145,22.73,73,100,10.36,1651332123
Butaritari,KI,3.0707,172.7902,80.62,82,90,12.03,1651332124
Longyearbyen,SJ,78.2186,15.6401,15.64,53,0,3.44,1651332124
Saskylakh,RU,71.9167,114.0833,15.22,92,100,16.89,1651332125
Cape Town,ZA,-33.9258,18.4232,66.27,65,0,12.66,1651332064
Mānikganj,BD,23.8553,90.0125,87.78,89,77,16.53,1651332125
Muros,ES,42.7762,-9.0603,78.67,61,7,5.03,1651332126
Lengshuijiang,CN,27.6881,111.4294,55.33,92,100,3.56,1651332126
Jamestown,US,42.097,-79.2353,57.94,29,0,6.91,1651332127
Dvorichna,UA,49.8496,37.6857,57.09,42,43,6.67,1651332127
Albany,US,42.6001,-73.9662,54.88,32,2,1.99,1651332088
Wattegama,LK,6.7989,81.4808,78.37,89,53,1.28,1651332024
Pevek,RU,69.7008,170.3133,-5.71,100,96,0.98,1651332128
Leningradskiy,RU,69.3833,178.4167,3.58,98,96,5.99,1651332129
George Town,MY,5.4112,100.3354,84.15,87,20,3.44,1651332129
Fort Nelson,CA,58.8053,-122.7002,29.79,74,20,0.0,1651332130
Okhotsk,RU,59.3833,143.3,32.65,92,58,3.22,1651332130
Port Alfred,ZA,-33.5906,26.891,65.17,67,2,5.99,1651332131
Lüderitz,NA,-26.6481,15.1594,67.46,52,0,25.28,1651332131
Avarua,CK,-21.2078,-159.775,78.85,83,20,4.61,1651332131
Saint-Philippe,RE,-21.3585,55.7679,78.39,79,45,11.18,1651332132
Mar del Plata,AR,-38.0023,-57.5575,55.42,54,0,11.5,1651332132
Cabo San Lucas,MX,22.8909,-109.9124,77.5,45,0,2.3,1651332133
Geraldton,AU,-28.7667,114.6,59.41,88,0,9.22,1651332133
Khovd,MN,48.0056,91.6419,54.41,17,55,0.92,1651332134
Merauke,ID,-8.4667,140.3333,79.92,86,49,14.27,1651332134
Klaksvík,FO,62.2266,-6.589,49.12,83,98,8.23,1651332067
Port Elizabeth,ZA,-33.918,25.5701,67.1,74,0,19.57,1651331970
Guipavas,FR,48.4352,-4.3972,57.25,62,0,13.8,1651332135
Atar,MR,20.5169,-13.0499,93.25,14,0,0.0,1651332136
Honningsvåg,NO,70.9821,25.9704,29.95,69,75,8.05,1651332136
Hasaki,JP,35.7333,140.8333,46.8,54,47,11.54,1651332137
Yulara,AU,-25.2406,130.9889,63.48,59,100,17.11,1651332138
Yellowknife,CA,62.456,-114.3525,23.56,63,0,8.05,1651332139
Shīeli,KZ,44.1667,66.75,78.62,17,90,6.33,1651332139
Nikolskoye,RU,59.7035,30.7861,46.29,44,92,7.94,1651332139
Souillac,MU,-20.5167,57.5167,77.38,78,40,6.91,1651332140
Mwinilunga,ZM,-11.7358,24.4293,70.61,69,90,4.34,1651332140
Adrar,MR,20.5022,-10.0711,94.37,7,0,7.11,1651332141
Carutapera,BR,-1.195,-46.02,81.27,84,63,5.48,1651332141
Pinega,RU,64.7001,43.3936,33.55,65,98,8.08,1651332142
Saint George,US,37.1041,-113.5841,63.79,22,0,3.0,1651332142
Punta Arenas,CL,-53.15,-70.9167,41.11,81,20,4.61,1651332143
Adelaide,AU,-34.9333,138.6,62.08,75,40,6.91,1651331957
Miquelon,PM,47.0975,-56.3814,44.6,90,100,5.75,1651332143
Vila Velha,BR,-20.3297,-40.2925,85.95,70,40,9.22,1651331846
Kavaratti,IN,10.5669,72.642,85.93,72,99,11.23,1651332144
Kaitangata,NZ,-46.2817,169.8464,49.23,88,22,4.76,1651332144
Verkhnetulomskiy,RU,68.6073,31.7962,30.33,67,97,9.86,1651332145
São Filipe,CV,14.8961,-24.4956,75.24,67,94,11.65,1651331985
Vaini,TO,-21.2,-175.2,75.36,100,100,6.91,1651332145
Homer,US,59.6425,-151.5483,42.69,76,100,19.57,1651332146
Battle Creek,US,42.3212,-85.1797,55.72,35,100,14.97,1651332146
Mingshui,CN,36.7167,117.5,53.8,19,100,8.59,1651332147
Port Hardy,CA,50.6996,-127.4199,50.0,81,75,12.66,1651332147
Huallanca,PE,-9.8993,-76.9417,51.82,62,90,6.55,1651332148
Pringsewu,ID,-5.3582,104.9744,75.27,97,100,3.67,1651332148
Carnarvon,AU,-24.8667,113.6333,68.07,68,40,9.22,1651332149
Tasiilaq,GL,65.6145,-37.6368,44.76,42,70,14.36,1651332149
Los Llanos de Aridane,ES,28.6585,-17.9182,69.55,73,0,13.8,1651331880
Kiama,AU,-34.6833,150.8667,59.0,71,43,5.01,1651332150
Pisco,PE,-13.7,-76.2167,70.02,77,54,5.75,1651332150
Crossville,US,35.949,-85.0269,72.23,56,0,8.01,1651332150
Kushnarenkovo,RU,55.105,55.3508,48.34,43,18,2.55,1651332151
Dul'durga,RU,50.6761,113.5931,40.37,96,100,2.21,1651332151
Taltal,CL,-25.4,-70.4833,66.61,69,8,6.85,1651332152
Linguère,SN,15.3953,-15.1193,107.82,20,0,9.22,1651332152
Hong Kong,HK,22.2855,114.1577,79.18,86,100,11.99,1651332032
Baykit,RU,61.67,96.37,34.45,91,98,3.56,1651332153
Hobyo,SO,5.3505,48.5268,85.59,69,62,10.6,1651332153
Oranjemund,NA,-28.55,16.4333,61.12,71,0,19.71,1651332154
Krabi,TH,8.0726,98.9105,79.0,100,20,4.61,1651332095
Hithadhoo,MV,-0.6,73.0833,85.77,69,71,16.17,1651332081
Shenjiamen,CN,29.9576,122.298,55.53,79,100,10.58,1651332154
Esperance,AU,-33.8667,121.9,57.04,78,0,8.05,1651332155
Alofi,NU,-19.0595,-169.9187,75.09,94,98,3.44,1651332155
Te Anau,NZ,-45.4167,167.7167,56.57,77,99,9.98,1651332156
Ribeira Grande,PT,38.5167,-28.7,66.6,82,75,11.5,1651332156
Clyde River,CA,70.4692,-68.5914,14.23,79,100,3.44,1651332157
Airai,TL,-8.9266,125.4092,60.26,90,91,3.13,1651332157
Naze,JP,28.3667,129.4833,65.32,77,45,7.99,1651331990
Fairbanks,US,64.8378,-147.7164,36.61,76,0,5.75,1651332057
Constitución,CL,-35.3333,-72.4167,58.15,44,0,6.17,1651332158
Hermanus,ZA,-34.4187,19.2345,63.81,74,52,7.52,1651331913
Great Yarmouth,GB,52.6083,1.7305,60.42,68,47,9.55,1651332159
Batemans Bay,AU,-35.7167,150.1833,60.1,78,81,3.76,1651332159
Lubango,AO,-14.9172,13.4925,75.88,37,28,5.03,1651332159
Machilipatnam,IN,16.1667,81.1333,85.03,76,0,13.29,1651331881
Husavik,IS,66.0449,-17.3389,52.41,49,70,3.11,1651332160
Nizhniy Odes,RU,63.6445,54.856,31.59,83,100,1.61,1651332160
Aasiaat,GL,68.7098,-52.8699,18.19,69,2,12.48,1651332161
São José da Coroa Grande,BR,-8.8978,-35.1478,82.29,68,97,9.51,1651332161
Eureka,US,40.8021,-124.1637,54.36,78,100,5.01,1651332162
Malinovskiy,RU,61.1953,62.8397,37.42,55,13,5.84,1651332162
Makakilo City,US,21.3469,-158.0858,73.72,74,0,19.57,1651332163
Bambous Virieux,MU,-20.3428,57.7575,77.25,78,40,6.91,1651332163
Great Falls,US,47.5002,-111.3008,48.6,69,0,6.91,1651332163
Anadyr,RU,64.75,177.4833,28.9,86,40,2.24,1651332164
Chui,UY,-33.6971,-53.4616,61.36,54,56,3.38,1651332164
Kaeo,NZ,-35.1,173.7833,55.33,96,11,6.31,1651332165
Lagoa,PT,39.05,-27.9833,61.16,85,3,12.8,1651332165
Māngrol,IN,21.1167,70.1167,83.98,81,0,8.72,1651332166
Sinnamary,GF,5.3833,-52.95,83.14,67,83,12.28,1651332166
Mackay,AU,-21.15,149.2,68.68,100,5,6.91,1651332164
Andra,RU,62.5147,65.8878,33.6,78,10,6.02,1651332167
Sitka,US,57.0531,-135.33,40.89,75,0,0.0,1651332066
Broken Hill,AU,-31.95,141.4333,53.31,82,0,5.75,1651332167
Thompson,CA,55.7435,-97.8558,35.76,75,75,10.36,1651331988
Mariinsk,RU,56.2139,87.7472,60.96,50,55,6.55,1651332168
Wanning,CN,18.8003,110.3967,76.46,92,98,5.48,1651332168
Kulhudhuffushi,MV,6.6221,73.07,86.2,72,100,11.27,1651332169
Paamiut,GL,61.994,-49.6678,31.89,89,100,17.05,1651332169
Ponta Delgada,PT,37.7333,-25.6667,66.92,88,40,10.36,1651332170
Lebu,CL,-37.6167,-73.65,52.7,60,0,12.55,1651332170
Opuwo,NA,-18.0607,13.84,81.45,32,64,3.96,1651332170
Pemangkat,ID,1.1667,108.9667,82.35,72,100,2.46,1651332171
Bredasdorp,ZA,-34.5322,20.0403,65.86,52,16,11.72,1651332171
Kapaa,US,22.0752,-159.319,73.11,84,20,14.97,1651332172
Provideniya,RU,64.3833,-173.3,28.0,93,100,14.88,1651331997
Nanortalik,GL,60.1432,-45.2371,39.07,84,83,4.03,1651332172
Beringovskiy,RU,63.05,179.3167,24.89,96,100,13.44,1651332173
Shōbu,JP,36.0667,139.6,56.34,49,83,10.22,1651332173
Haines Junction,CA,60.7522,-137.5108,31.95,80,82,1.14,1651332174
Eyl,SO,7.9803,49.8164,85.24,71,60,11.72,1651332174
Ammon,US,43.4696,-111.9666,44.35,62,0,3.44,1651332174
Qasigiannguit,GL,68.8193,-51.1922,23.25,61,1,8.34,1651332175
Château-Gontier,FR,47.8333,-0.7,64.56,58,59,12.21,1651332175
Pīpri,IN,19.8,75.5333,95.65,14,4,21.21,1651332176
Katsuura,JP,35.1333,140.3,52.95,66,41,8.66,1651332176
Tromsø,NO,69.6496,18.957,36.37,80,75,5.75,1651332177
Miracema do Tocantins,BR,-9.5618,-48.3967,87.62,49,97,6.8,1651332177
Gamba,GA,-2.65,10.0,82.02,70,100,2.68,1651332178
Panama City,PA,8.9936,-79.5197,86.38,76,40,9.22,1651332041
Omboué,GA,-1.5746,9.2618,87.75,57,100,2.84,1651332178
Grand Gaube,MU,-20.0064,57.6608,77.4,75,33,1.99,1651332179
Caravelas,BR,-17.7125,-39.2481,83.5,57,6,7.4,1651332179
East London,ZA,-33.0153,27.9116,67.14,68,0,17.27,1651332179
Cravo Norte,CO,6.3017,-70.2041,73.89,93,100,7.27,1651332180
Aykhal,RU,66.0,111.5,20.48,94,100,29.8,1651332180
Moussoro,TD,13.6408,16.4901,107.42,13,100,2.93,1651332181
Kruisfontein,ZA,-34.0033,24.7314,63.88,66,0,16.28,1651332181
Bereda,ES,43.2686,-7.5406,78.15,46,17,5.39,1651332182
Mahébourg,MU,-20.4081,57.7,77.29,78,40,6.91,1651332182
Lavrentiya,RU,65.5833,-171.0,23.45,89,100,10.18,1651332149
Inzhavino,RU,52.3185,42.4937,50.11,59,87,10.45,1651332183
Río Gallegos,AR,-51.6226,-69.2181,39.25,52,20,3.44,1651332183
Gornopravdinsk,RU,60.05,69.9,34.3,61,75,1.99,1651332184
Kavieng,PG,-2.5744,150.7967,82.02,73,97,1.72,1651332084
Westport,US,41.1415,-73.3579,59.31,29,0,10.36,1651332184
Belmonte,BR,-15.8631,-38.8828,80.73,68,19,5.44,1651332185
Qaanaaq,GL,77.484,-69.3632,18.18,77,100,8.55,1651332185
Abu Dhabi,AE,24.4667,54.3667,86.11,49,0,9.22,1651332186
Brookings,US,44.3114,-96.7984,51.46,97,100,10.36,1651332054
La Ronge,CA,55.1001,-105.2842,34.05,86,100,8.05,1651332186
Lensk,RU,60.7253,114.9278,36.5,99,100,6.31,1651332187
Luwuk,ID,-0.9516,122.7875,78.19,88,100,1.9,1651332187
Collie,AU,-33.3667,116.15,51.03,93,0,2.98,1651332188
Kirakira,SB,-10.4544,161.9205,79.93,81,100,0.58,1651332067
Buenos Aires,AR,-34.6132,-58.3772,57.09,58,75,8.05,1651331959
Safi,MA,32.2994,-9.2372,67.82,67,100,16.2,1651332188
Kahului,US,20.8947,-156.47,73.85,79,20,14.97,1651332028
Shingū,JP,33.7333,135.9833,59.13,87,100,9.93,1651332189
Puerto Escondido,MX,15.85,-97.0667,85.08,59,62,3.89,1651332189
Mujiayingzi,CN,42.1167,118.7833,44.64,21,19,8.88,1651332190
Ancud,CL,-41.8697,-73.8203,48.79,72,24,3.2,1651332190
Chatham,GB,51.3789,0.5279,64.36,50,78,4.41,1651332191
Cherskiy,RU,68.75,161.3,-6.14,100,79,4.18,1651332191
Turaif,SA,31.6725,38.6637,91.65,14,17,25.32,1651332192
Severo-Yeniseyskiy,RU,60.3725,93.0408,32.13,99,100,2.13,1651332192
San Fernando del Valle de Catamarca,AR,-28.4696,-65.7852,68.58,58,21,4.0,1651332019
Calamba,PH,14.2117,121.1653,84.15,87,100,8.52,1651332193
Latung,PH,5.5,120.8833,83.14,76,100,3.15,1651332193
Koumac,NC,-20.5667,164.2833,73.24,83,24,4.83,1651332194
Namatanai,PG,-3.6667,152.4333,79.48,79,100,1.81,1651332194
Bandarbeyla,SO,9.4942,50.8122,84.99,72,11,10.33,1651332195
Kidal,ML,18.4411,1.4078,102.45,8,89,15.3,1651332195
San Patricio,US,28.017,-97.5169,82.35,64,5,12.33,1651331985
Adwa,ET,14.1646,38.8955,81.52,28,29,13.69,1651332196
Yar-Sale,RU,66.8333,70.8333,18.77,86,66,8.25,1651332196
Chernyshevskiy,RU,63.0128,112.4714,34.48,91,98,9.37,1651332197
Kasongo-Lunda,CD,-6.4667,16.8167,79.05,84,100,0.85,1651332197
Sayyan,YE,15.1718,44.3244,67.39,41,84,8.32,1651332198
Taoudenni,ML,22.6783,-3.9836,94.39,10,0,8.3,1651332198
Ferreira do Alentejo,PT,38.05,-8.0333,80.19,32,20,2.3,1651332199
Diego de Almagro,CL,-26.3667,-70.05,72.9,28,0,4.88,1651332199
Ulaangom,MN,49.9811,92.0667,52.86,30,91,0.87,1651332200
Tuatapere,NZ,-46.1333,167.6833,55.74,79,100,8.48,1651332200
Itupiranga,BR,-5.1347,-49.3267,88.12,56,42,0.43,1651332201
Willowmore,ZA,-33.2926,23.4895,62.22,36,0,8.97,1651332201
Rognan,NO,67.0953,15.3878,40.75,58,100,5.08,1651332201
Malokakhovka,UA,46.7814,33.4479,55.58,65,68,13.42,1651332202
Waipawa,NZ,-41.4122,175.5153,44.76,87,0,6.02,1651332202
Boyolangu,ID,-8.1181,111.8935,76.37,91,100,2.26,1651332203
Baza,ES,37.4907,-2.7726,71.58,31,100,4.0,1651332203
Buraidah,SA,26.326,43.975,91.85,20,0,0.11,1651332162
Severo-Kuril'sk,RU,50.6789,156.125,33.96,82,92,16.98,1651332204
Mafra,BR,-26.1114,-49.8053,63.52,77,99,4.09,1651332204
Coruripe,BR,-10.1256,-36.1756,81.52,69,94,9.24,1651332205
Mossamedes,AO,-15.1961,12.1522,77.4,73,8,9.98,1651332181
Nabire,ID,-3.3667,135.4833,76.57,92,100,3.0,1651332206
Menongue,AO,-14.6585,17.691,77.54,37,33,6.98,1651332206
Manokwari,ID,-0.8667,134.0833,79.27,81,100,4.5,1651332206
Bathsheba,BB,13.2167,-59.5167,84.81,70,20,18.41,1651332207
Vestmanna,FO,62.1564,-7.1664,47.32,76,100,10.36,1651332207
Garden City,US,42.3256,-83.331,55.35,44,100,11.5,1651332208
Wana,PK,32.2989,69.5725,82.27,19,0,4.83,1651332209
Camacha,PT,33.0833,-16.3333,65.62,68,40,13.8,1651332210
Talcahuano,CL,-36.7167,-73.1167,49.68,71,0,6.91,1651332210
Soyo,AO,-6.1349,12.3689,82.96,70,97,6.06,1651332211
Piaçabuçu,BR,-10.4056,-36.4344,82.89,64,98,9.28,1651332211
Nouadhibou,MR,20.931,-17.0347,73.38,60,100,16.11,1651332212
Norman Wells,CA,65.282,-126.8329,35.64,64,20,8.05,1651332212
Bengkulu,ID,-3.8004,102.2655,78.08,89,100,4.54,1651332213
Kununurra,AU,-15.7667,128.7333,82.38,78,100,4.61,1651332213
Le Port,RE,-20.9373,55.2919,78.8,68,43,5.53,1651332214
Sawākin,SD,19.1059,37.3321,87.51,63,2,6.71,1651332214
Nemuro,JP,43.3236,145.575,37.0,64,1,9.66,1651332214
Aklavik,CA,68.2191,-135.0107,30.2,80,20,5.75,1651332215
Chernyshevsk,RU,52.5243,117.0174,38.98,31,94,0.83,1651332215
Bonavista,CA,48.6499,-53.1147,37.15,94,100,5.61,1651332216
Saint Paul Harbor,US,57.79,-152.4072,40.51,87,100,29.93,1651332216
Esso,RU,55.9333,158.7,14.67,91,6,3.65,1651332217
Fukuechō,JP,32.6881,128.8419,59.25,67,100,15.66,1651332217
Manyoni,TZ,-5.7467,34.8382,74.64,56,70,4.56,1651332218
Armenia,AM,40.0,45.0,55.51,63,100,1.41,1651332218
Cabo Rojo,PR,18.0866,-67.1457,80.26,83,100,1.99,1651332219
North Platte,US,41.1239,-100.7654,49.24,66,100,38.01,1651332219
Gogrial,SS,8.5332,28.1004,98.64,24,100,6.53,1651332220
Bintulu,MY,3.1667,113.0333,77.41,94,20,3.44,1651332220
Portland,US,45.5234,-122.6762,53.94,90,75,5.01,1651332023
Rocha,UY,-34.4833,-54.3333,59.27,55,100,4.23,1651332221
Coquimbo,CL,-29.9533,-71.3436,60.53,72,20,9.22,1651332221
Meulaboh,ID,4.1363,96.1285,81.14,79,100,0.69,1651332221
Sibu,MY,2.3,111.8167,79.11,94,40,3.44,1651332222
Fare,PF,-16.7,-151.0167,80.13,74,4,18.01,1651332222
Road Town,VG,18.4167,-64.6167,78.89,89,75,9.22,1651332223
