City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Aden,YE,12.7794,45.0367,84.96,76,2,9.98,1651332130
Dingle,PH,10.9995,122.6711,78.19,82,93,5.82,1651332223
Ilo,PE,-17.6394,-71.3375,67.06,73,0,8.05,1651332224
Villarrica,PY,-25.75,-56.4333,71.83,91,92,2.93,1651332224
Castro,BR,-24.7911,-50.0119,62.85,83,99,7.54,1651332225
Trairi,BR,-3.2778,-39.2689,83.34,74,29,9.01,1651332225
Isangel,VU,-19.55,169.2667,77.4,88,100,15.12,1651332226
Kasempa,ZM,-13.4584,25.8338,72.28,62,14,4.76,1651332226
Araouane,ML,18.9048,-3.5265,101.28,5,1,12.75,1651332226
Abu Kamal,SY,34.4506,40.9171,88.3,22,80,22.3,1651332227
Aktash,RU,50.3,87.7333,39.52,42,100,5.03,1651332227
Asău,RO,46.4333,26.4,60.28,53,61,5.1,1651332228
Karratha,AU,-20.7377,116.8463,78.71,44,85,15.68,1651332228
Tarauacá,BR,-8.1614,-70.7656,85.39,65,97,0.45,1651332229
Vila Franca do Campo,PT,37.7167,-25.4333,66.61,70,2,8.34,1651332229
Santiago,CL,-33.4569,-70.6483,71.29,48,0,3.44,1651332103
Kamenka,RU,51.3223,42.7678,53.94,45,98,7.36,1651332230
Laas,IT,46.6166,10.7002,54.36,98,100,4.29,1651332230
Carballo,ES,43.213,-8.691,78.22,73,10,5.32,1651332230
Northam,GB,51.0333,-4.2167,55.65,59,100,4.43,1651332231
Inongo,CD,-1.95,18.2667,75.54,81,100,3.13,1651332231
Santo Antônio do Içá,BR,-3.1022,-67.9397,85.26,64,92,2.71,1651332232
Sechura,PE,-5.5569,-80.8222,73.62,65,99,11.34,1651332232
Luanda,AO,-8.8368,13.2343,82.4,74,20,8.05,1651332094
Banda Aceh,ID,5.5577,95.3222,82.42,79,100,6.35,1651332233
Walajapet,IN,12.9333,79.3833,89.22,56,54,11.41,1651332233
Farafangana,MG,-22.8167,47.8333,72.88,84,0,4.16,1651332234
Zhezkazgan,KZ,47.8043,67.7144,71.58,37,0,4.47,1651332234
Mogadishu,SO,2.0371,45.3438,84.07,73,4,14.56,1651332235
Peniche,PT,39.3558,-9.3811,79.09,60,8,12.41,1651332235
Powell River,CA,49.8496,-124.5361,49.08,93,100,0.0,1651332235
Hambantota,LK,6.1241,81.1185,82.76,81,85,15.26,1651332236
Charleston,US,32.7766,-79.9309,78.03,59,0,14.97,1651331974
Mercedes,AR,-34.6515,-59.4307,56.64,58,100,4.34,1651332236
Chokurdakh,RU,70.6333,147.9167,6.96,96,33,7.05,1651332237
Colesville,US,39.0757,-77.0019,62.06,27,0,5.75,1651332237
Muslyumovo,RU,55.3033,53.1947,49.15,46,50,5.28,1651332238
Manicoré,BR,-5.8092,-61.3003,87.71,60,61,3.22,1651332238
San Jose,US,37.3394,-121.895,60.44,69,20,3.0,1651331986
Lompoc,US,34.6391,-120.4579,67.93,84,0,20.0,1651331969
Bodden Town,KY,19.2833,-81.25,84.97,68,20,11.5,1651332239
Mõisaküla,EE,58.0922,25.1864,45.75,46,52,9.15,1651332239
Evensk,RU,61.95,159.2333,30.16,72,28,9.26,1651332240
São Félix do Xingu,BR,-6.6447,-51.995,82.11,78,77,2.86,1651332240
Pskov,RU,57.8136,28.3496,49.91,32,0,6.71,1651332241
Phalombe,MW,-15.8064,35.6507,67.37,78,39,4.52,1651332241
Springbok,ZA,-29.6643,17.8865,70.07,17,0,8.61,1651332242
Sistranda,NO,63.7256,8.834,44.56,74,96,17.72,1651332138
Nogliki,RU,51.8333,143.1667,30.76,98,100,9.71,1651332242
Avera,US,33.194,-82.5271,76.55,56,87,7.36,1651332243
Kondinskoye,RU,59.6481,67.41,36.72,48,51,1.54,1651332243
Vila Viçosa,PT,38.7777,-7.4179,83.68,32,1,5.5,1651332244
College,US,64.8569,-147.8028,36.59,76,40,5.75,1651332148
Nishihara,JP,26.1842,127.7558,70.88,73,100,8.05,1651332244
Flinders,AU,-34.5833,150.8552,58.37,72,25,3.0,1651332245
Zhaotong,CN,27.3167,103.7167,43.72,90,100,7.92,1651332245
Gweta,BW,-20.1833,25.2333,82.04,24,7,7.94,1651332246
Coyhaique,CL,-45.5752,-72.0662,47.01,81,75,6.91,1651332246
Ang Thong,TH,14.6167,100.3667,89.15,64,91,10.36,1651332247
Ceyhan,TR,37.0247,35.8175,84.04,43,70,8.46,1651332247
Dolores Hidalgo Cuna de la Independencia Nacional,MX,21.1561,-100.9308,70.86,13,0,3.04,1651331990
Martinez,US,38.0194,-122.1341,63.07,72,0,5.75,1651332100
Artyom,AZ,40.4723,50.333,60.94,86,76,21.0,1651332248
Ulfborg,DK,56.2673,8.3217,59.36,60,12,9.22,1651332248
Oranjestad,AW,12.524,-70.027,87.75,70,40,24.16,1651332242
Mount Gambier,AU,-37.8333,140.7667,55.31,94,100,11.5,1651332249
Salto del Guairá,PY,-24.0625,-54.3069,72.66,81,96,10.25,1651332249
Narsaq,GL,60.9167,-46.05,52.02,56,40,4.25,1651332250
Akureyri,IS,65.6835,-18.0878,57.13,30,0,17.27,1651332250
Hirara,JP,24.8,125.2833,76.39,83,100,8.84,1651332251
La Playa,PR,18.2875,-67.1869,82.02,87,100,1.99,1651332251
Yeppoon,AU,-23.1333,150.7333,67.78,89,58,10.18,1651332252
Eirunepé,BR,-6.6603,-69.8736,85.75,63,94,1.36,1651332252
Lyubashivka,UA,47.8372,30.2598,56.57,57,85,3.6,1651332253
Poum,NC,-20.2333,164.0167,76.06,76,4,8.12,1651332253
Lębork,PL,54.5392,17.7501,59.92,54,100,3.56,1651332155
Pavlogradka,RU,54.2024,73.5592,55.62,50,100,20.27,1651332254
Vilyuysk,RU,63.7553,121.6247,36.05,81,100,13.78,1651332254
Bilibino,RU,68.0546,166.4372,-3.53,100,85,4.56,1651332255
Kloulklubed,PW,7.0419,134.2556,73.9,79,64,5.75,1651332255
Saint Augustine,US,29.8947,-81.3145,81.05,63,40,13.8,1651332256
Saint-Gabriel,CA,46.3001,-73.3824,50.41,44,38,8.97,1651332256
Manono,CD,-7.3,27.4167,82.54,66,79,3.44,1651332257
Kawhia,NZ,-38.0651,174.8183,53.51,89,12,5.95,1651332257
Barra do Garças,BR,-15.89,-52.2567,90.18,40,0,6.91,1651332258
Wonogiri,ID,-7.8144,110.9259,77.22,88,100,2.73,1651332259
Hamilton,US,39.1834,-84.5333,65.21,77,100,11.5,1651332209
Itainópolis,BR,-7.4469,-41.4783,94.91,29,100,6.04,1651332259
Katsuyama,JP,36.0617,136.501,46.76,84,100,7.52,1651332101
General Pico,AR,-35.6566,-63.7568,60.19,33,29,11.86,1651332261
Aswān,EG,24.0934,32.907,105.71,6,25,14.32,1651332262
Visnes,NO,59.3556,5.2242,50.38,71,0,18.41,1651332262
Minggang,CN,32.4586,114.0486,53.89,53,99,7.02,1651332264
Balyqshy,KZ,47.0667,51.8667,60.8,63,0,20.13,1651332264
Berlevåg,NO,70.8578,29.0864,26.4,62,100,17.45,1651332237
Kastamonu Province,TR,41.5,33.6667,50.76,87,100,11.25,1651332265
Acapulco de Juárez,MX,16.8634,-99.8901,82.22,69,0,5.75,1651332014
Port Lincoln,AU,-34.7333,135.8667,59.13,77,2,7.76,1651332266
Pitkyaranta,RU,61.5734,31.4792,38.79,68,100,14.99,1651332266
Djibouti,DJ,11.5,42.5,84.76,47,44,11.92,1651332267
Yumen,CN,40.2833,97.2,50.81,17,4,6.08,1651331989
Samarai,PG,-10.6167,150.6667,80.8,79,47,5.73,1651332268
Motygino,RU,58.1831,94.7592,50.07,97,98,4.18,1651332268
Srednekolymsk,RU,67.45,153.6833,2.68,97,51,4.94,1651332269
Guerrero Negro,MX,27.9769,-114.0611,61.05,75,55,11.81,1651332169
The Pas,CA,53.8251,-101.2541,39.22,81,0,3.44,1651332263
Faya,SA,18.3851,42.4509,71.71,38,12,5.88,1651332270
Chara,RU,56.9064,118.2631,34.59,77,100,3.04,1651332270
Alamogordo,US,32.8995,-105.9603,73.06,10,0,12.66,1651332271
Chifeng,CN,42.2683,118.9636,46.0,20,73,7.65,1651332272
Tabou,CI,4.423,-7.3528,85.21,67,98,7.43,1651332272
Timmins,CA,48.4669,-81.3331,51.62,25,20,6.91,1651332273
Alta Floresta,BR,-9.8756,-56.0861,94.82,49,20,9.22,1651332274
Joshīmath,IN,30.5667,79.5667,61.09,80,100,5.3,1651332274
Plettenberg Bay,ZA,-34.0527,23.3716,62.51,71,2,9.01,1651332275
Verkhoyansk,RU,67.5447,133.385,10.56,90,10,5.1,1651332276
Homestead,US,25.4687,-80.4776,83.01,78,75,5.75,1651332162
Salalah,OM,17.0151,54.0924,86.09,84,75,6.91,1651332276
Ryl'sk,RU,51.5655,34.6822,50.61,62,87,8.46,1651332277
Pindobaçu,BR,-10.7417,-40.3608,85.35,44,100,11.1,1651332277
Pākāla,IN,13.4667,79.1167,90.01,46,98,10.11,1651332278
Semey,KZ,50.4111,80.2275,66.76,26,94,9.33,1651332279
Lucea,JM,18.451,-78.1736,84.85,65,5,8.23,1651332279
Tomatlán,MX,19.9333,-105.25,79.43,30,7,1.86,1651332280
Johi,PK,26.6921,67.6133,106.3,12,3,13.51,1651332281
Barcelos,PT,41.5388,-8.6151,78.91,48,8,8.34,1651332281
Panlaitan,PH,12.1191,119.8486,83.41,75,100,7.7,1651332203
Prince Rupert,CA,54.3161,-130.3201,44.69,81,0,3.44,1651332134
Utete,TZ,-7.986,38.758,77.61,83,91,5.03,1651332282
North Bend,US,43.4065,-124.2243,51.24,96,100,6.91,1651332283
West Wendover,US,40.7391,-114.0733,45.61,42,0,4.61,1651332002
Talā,EG,30.6803,30.9429,80.2,29,0,18.77,1651332284
Pointe Michel,DM,15.25,-61.3833,86.29,82,50,14.5,1651332284
Keti Bandar,PK,24.1447,67.4497,84.96,74,0,21.07,1651332248
Itarema,BR,-2.9248,-39.9167,82.85,76,63,10.02,1651332285
Fortuna,US,40.5982,-124.1573,54.09,95,75,5.01,1651332285
Grindavik,IS,63.8424,-22.4338,45.07,87,100,9.22,1651332285
Megion,RU,61.0296,76.1136,32.02,69,14,3.91,1651332286
San Cristobal,VE,7.7669,-72.225,80.78,78,100,7.09,1651332173
Bentley,GB,53.5333,-1.15,65.5,42,0,14.97,1651332286
Cuiluan,CN,47.72,128.648,38.46,97,100,1.52,1651332287
Provincia di Verona,IT,45.4167,11.0333,73.4,32,75,4.61,1651332287
Okha,RU,53.5739,142.9478,29.8,97,100,6.64,1651332288
Āsind,IN,25.7333,74.3333,92.98,19,0,2.64,1651332288
Laguna,US,38.421,-121.4238,64.09,69,0,4.61,1651332289
Āzādshahr,IR,34.7909,48.5707,63.09,45,40,11.5,1651332289
Hervey Bay,AU,-25.2986,152.8535,68.02,94,62,7.0,1651332126
Leh,IN,34.1667,77.5833,45.81,59,82,3.56,1651332290
Namtsy,RU,62.7161,129.6658,19.0,94,26,3.38,1651332290
Nokaneng,BW,-19.6667,22.2667,82.15,27,37,5.28,1651332291
Piquete,BR,-22.6136,-45.1761,70.25,98,100,1.79,1651332291
Aginskoye,RU,51.1,114.53,39.27,93,90,9.6,1651332292
Pingliang,CN,35.5392,106.6861,46.06,25,100,4.38,1651332292
Turbat,PK,26.0023,63.044,99.16,22,0,26.57,1651332292
Abonnema,NG,4.7084,6.7931,87.62,59,100,9.82,1651332293
Verāval,IN,20.9,70.3667,83.79,82,0,9.13,1651332293
Darhan,MN,49.4867,105.9228,53.67,44,69,2.91,1651332294
Hammerum,DK,56.1336,9.0612,58.91,41,40,11.5,1651332294
Coari,BR,-4.085,-63.1414,74.55,96,100,1.45,1651332295
Quryq,KZ,43.2,51.65,68.83,52,57,15.79,1651332295
Kāvali,IN,14.9167,79.9833,84.78,74,1,15.12,1651332296
Imbituba,BR,-28.24,-48.6703,68.86,61,16,10.63,1651332296
Las Palmas,ES,28.4204,-14.0131,68.79,73,20,14.97,1651332296
Letterkenny,IE,54.95,-7.7333,53.49,93,100,14.18,1651332297
Erenhot,CN,43.6475,111.9767,50.94,25,77,14.45,1651332297
Coffeyville,US,37.0373,-95.6164,66.9,61,0,18.41,1651332289
Dāmghān,IR,36.1683,54.348,64.53,56,100,5.01,1651332298
Scarborough,GB,54.2797,-0.4044,63.97,61,100,3.0,1651332029
Milas,TR,37.3164,27.7839,69.15,60,75,8.05,1651332298
Vao,NC,-22.6667,167.4833,74.14,81,100,21.21,1651332299
Benjamin Constant,BR,-4.3831,-70.0311,80.73,78,40,4.61,1651332299
Minas,UY,-34.3759,-55.2377,56.68,60,96,5.41,1651332300
Novy Urengoy,RU,66.0833,76.6333,22.62,85,93,12.03,1651332300
Puerto Ayacucho,VE,5.6639,-67.6236,76.62,90,100,5.32,1651332301
Alyangula,AU,-13.8483,136.4192,73.27,100,73,0.0,1651332301
Ondangwa,NA,-17.9167,15.95,83.91,25,25,6.8,1651332302
Timizart,DZ,36.8,4.2667,63.73,51,0,7.14,1651332302
Richards Bay,ZA,-28.783,32.0377,69.17,72,92,14.03,1651332303
Melenki,RU,55.3343,41.6295,43.56,43,93,9.04,1651332304
Bahía Blanca,AR,-38.7196,-62.2724,56.91,32,10,10.38,1651332184
Vostok,RU,46.4856,135.8833,36.16,95,100,1.92,1651332304
Bāglung,NP,28.2719,83.5898,68.56,64,100,3.2,1651332305
Marabu,MY,4.4148,114.0089,77.14,94,20,4.61,1651332305
Khātra,IN,22.9833,86.85,88.27,35,37,9.28,1651332306
Cockburn Town,TC,21.4612,-71.1419,76.73,74,100,18.72,1651332306
Mae Hong Son,TH,19.3003,97.9685,73.8,86,84,1.83,1651332307
Bowen,AU,-20.0167,148.2333,70.41,91,2,9.06,1651332307
São João da Barra,BR,-21.6403,-41.0511,82.49,63,11,2.21,1651332082
Peruíbe,BR,-24.32,-46.9983,70.88,87,100,4.83,1651332308
Qujing,CN,25.4833,103.7833,56.71,78,99,11.32,1651332308
Salò,IT,45.6086,10.531,72.32,50,99,3.44,1651332309
Kalabo,ZM,-14.97,22.6814,79.79,33,0,6.55,1651332309
Rome,US,43.2128,-75.4557,54.95,34,0,5.99,1651332180
Leshukonskoye,RU,64.8989,45.7622,32.13,72,100,6.98,1651332310
Dukat,RU,62.55,155.55,8.17,99,100,2.1,1651332310
Weyburn,CA,49.6668,-103.8511,48.42,61,100,12.66,1651332311
Ostrovnoy,RU,68.0531,39.5131,27.54,71,84,12.66,1651332311
Sampit,ID,-2.5333,112.95,75.31,97,100,1.99,1651332312
Coahuayana Viejo,MX,18.7333,-103.6833,82.69,33,1,2.59,1651332312
San Vicente,AR,-26.6167,-54.1333,75.79,65,81,5.95,1651332313
Buxton,GB,53.2574,-1.9098,59.25,56,100,4.0,1651332031
Bayir,TR,37.2687,28.2167,64.92,46,97,8.95,1651332313
Câmara de Lobos,PT,32.6333,-16.9667,77.72,58,20,17.27,1651332314
Kizema,RU,61.113,44.8302,37.4,47,91,4.79,1651332314
Löbau,DE,51.1,14.6667,64.45,43,100,7.52,1651332315
River Falls,US,44.8614,-92.6238,50.09,83,100,20.56,1651332035
Zarand,IR,30.8127,56.564,77.49,22,41,24.54,1651332315
Sambava,MG,-14.2667,50.1667,77.92,83,6,11.81,1651332316
San Estanislao,CO,10.3983,-75.1511,91.29,61,100,7.02,1651332316
Sandwick,GB,60.0,-1.25,44.42,87,75,10.36,1651332317
Marzuq,YE,14.4,46.4667,82.33,46,22,13.06,1651332317
Khovu-Aksy,RU,51.1333,93.6,48.56,37,97,6.4,1651332318
Burgeo,CA,47.6167,-57.6152,43.84,82,99,2.91,1651332258
Garoowe,SO,8.4054,48.4845,93.51,28,28,4.16,1651332318
Aitape,PG,-3.1374,142.3475,78.64,87,100,5.26,1651332194
Strezhevoy,RU,60.7333,77.5889,27.52,76,17,4.76,1651332319
Severomuysk,RU,56.1481,113.4267,25.61,97,99,5.19,1651332319
Shilovo,RU,54.3204,40.874,44.91,50,91,10.89,1651332320
Shenzhen,CN,22.5455,114.0683,79.07,92,100,7.14,1651331878
San José del Guaviare,CO,2.5729,-72.6459,71.8,98,100,2.01,1651332320
Neiafu,TO,-18.65,-173.9833,77.68,94,75,0.0,1651332321
Qarqīn,AF,37.4185,66.0436,92.53,18,47,5.32,1651332321
Sterling,US,39.0062,-77.4286,62.42,28,20,5.75,1651332077
Nuuk,GL,64.1835,-51.7216,23.61,63,40,18.41,1651332322
Belyy Yar,RU,53.6039,91.3903,62.49,36,0,2.24,1651332323
Mikhaylovka,RU,50.06,43.2379,52.79,62,100,6.11,1651332323
Amahai,ID,-3.3333,128.9167,80.31,82,86,3.02,1651332323
Sumenep,ID,-7.0167,113.8667,81.0,85,100,8.79,1651332324
Zhangye,CN,38.9342,100.4517,49.01,45,98,2.53,1651332324
Paracelis,PH,17.2667,121.4667,75.92,85,96,4.63,1651332325
Turan,VN,16.0678,108.2208,80.58,83,40,1.14,1651332325
Flagstaff,US,35.1981,-111.6513,60.46,22,0,12.66,1651332236
Kailua,US,21.4022,-157.7394,75.18,78,40,10.36,1651332316
Vardø,NO,70.3705,31.1107,30.02,64,100,16.58,1651332326
Lyuban',BY,52.7985,28.0048,53.89,41,88,6.02,1651332326
Ambilobe,MG,-13.2,49.05,76.39,89,42,1.07,1651332327
Kinarut,MY,5.8231,116.0466,75.22,88,20,2.3,1651332327
Gouyave,GD,12.1646,-61.7296,83.17,79,20,21.85,1651332328
Mindelo,CV,16.8901,-24.9804,76.55,53,40,28.77,1651332328
Alugan,PH,12.2188,125.4808,80.44,84,99,8.32,1651332329
La Orilla,MX,17.9833,-102.2333,80.11,53,1,3.13,1651332329
Tenamaxtlán,MX,20.2167,-104.1667,74.01,8,5,2.39,1651332330
Mweka,CD,-4.85,21.5667,82.99,61,86,2.51,1651332330
Auki,SB,-8.7676,160.7034,77.85,85,100,2.06,1651332330
Dauphin,CA,51.1494,-100.0502,39.34,75,20,4.61,1651332331
Beyneu,KZ,45.3167,55.2,67.12,70,100,12.21,1651332331
Tilichiki,RU,60.4667,166.1,18.9,95,39,8.25,1651332332
Sosnovoborsk,RU,56.1325,93.3589,57.61,74,51,6.22,1651332332
Altay,CN,47.8667,88.1167,53.49,34,78,11.16,1651332333
Santa Maria,BR,-29.6842,-53.8069,63.7,68,0,12.66,1651332333
Vaitape,PF,-16.5167,-151.75,80.19,75,16,16.82,1651332334
Imeni Poliny Osipenko,RU,52.4201,136.4853,27.43,90,100,4.72,1651332334
Suba,PH,10.8438,121.0102,84.25,75,100,5.12,1651332335
Salto de Pirapora,BR,-23.6489,-47.5733,67.3,83,98,9.95,1651332335
Lahaina,US,20.8783,-156.6825,73.81,88,100,10.02,1651332065
Hutang,CN,31.5333,119.4833,53.98,92,100,3.89,1651332336
Karasjok,NO,69.4719,25.5112,29.05,79,99,13.35,1651332336
Pangnirtung,CA,66.1451,-65.7125,17.6,67,100,2.3,1651332336
Kalmunai,LK,7.4167,81.8167,83.16,78,9,7.99,1651332337
Kindu,CD,-2.95,25.95,79.56,73,93,3.0,1651332337
Kuching,MY,1.55,110.3333,75.42,100,40,4.61,1651332338
Machacamarca,BO,-18.1667,-67.0333,58.98,45,3,7.18,1651332338
Jinchang,CN,38.4953,102.1739,49.03,24,98,4.97,1651332339
Codrington,AU,-38.2667,141.9667,53.83,88,37,12.8,1651332339
Deputatsky,RU,69.3,139.9,3.65,88,35,3.8,1651332340
Brandon,US,27.9378,-82.2859,82.29,78,75,11.5,1651332340
Darnah,LY,32.767,22.6367,65.53,64,64,13.29,1651332341
Biltine,TD,14.5333,20.9167,107.37,5,100,7.96,1651332341
Padang,ID,-0.9492,100.3543,78.85,86,100,2.35,1651332215
Xining,CN,36.6167,101.7667,37.35,61,100,9.42,1651332342
Blairmore,CA,49.6,-114.4353,41.52,64,44,1.14,1651332342
Brodokalmak,RU,55.5748,62.082,49.1,42,100,6.17,1651332342
Hay River,CA,60.8156,-115.7999,26.58,74,20,3.44,1651332287
Shimoda,JP,34.6667,138.95,54.1,66,99,8.99,1651332343
Tucumcari,US,35.1717,-103.725,60.94,20,0,5.75,1651332247
Pochutla,MX,15.7432,-96.4661,85.82,50,59,3.44,1651332344
Iseyin,NG,7.9667,3.6,94.51,37,59,5.48,1651332344
Gladstone,AU,-23.85,151.25,69.78,88,60,4.61,1651332344
Sarandi,BR,-23.4436,-51.8739,78.35,61,0,8.05,1651332345
Kramat,ID,-8.1311,113.4499,75.67,91,99,2.46,1651332345
